plot code,Season code,Sitlav - Soybeans - Yield - KG/Ha,mean_savi2,min_savi2,max_savi2,skew_savi2,kurt_savi2,std_savi2,mean_ndwi,min_ndwi,max_ndwi,skew_ndwi,kurt_ndwi,std_ndwi,mean_savi,min_savi,max_savi,skew_savi,kurt_savi,std_savi,mean_mndvi,min_mndvi,max_mndvi,skew_mndvi,kurt_mndvi,std_mndvi,mean_ndmi,min_ndmi,max_ndmi,skew_ndmi,kurt_ndmi,std_ndmi,mean_evi,min_evi,max_evi,skew_evi,kurt_evi,std_evi,mean_arvi,min_arvi,max_arvi,skew_arvi,kurt_arvi,std_arvi,mean_ndvi,min_ndvi,max_ndvi,skew_ndvi,kurt_ndvi,std_ndvi,mean_msavi,min_msavi,max_msavi,skew_msavi,kurt_msavi,std_msavi,mean_cri,min_cri,max_cri,skew_cri,kurt_cri,std_cri,mean_cari,min_cari,max_cari,skew_cari,kurt_cari,std_cari,CLASSE_DOM,mean_cec_0_5,mean_cec_15_30,mean_cec_30_60,mean_cec_5_15,mean_clay_0_5,mean_clay_15_30,mean_clay_30_60,mean_clay_5_15,mean_ph_0_5,mean_sand_0_5,mean_sand_15_30,mean_sand_5_15,mean_silt_0_5,mean_silt_15_30,mean_silt_30_60,mean_silt_5_15,mean_soc_0_5,mean_soc_15_30,mean_soc_30_60,mean_soc_5_15,mean_rain,min_rain,max_rain,skew_rain,kurt_rain,sum_rain,mean_mean temp,min_mean temp,max_mean temp,skew_mean temp,kurt_mean temp,mean_min temp,min_min temp,max_min temp,skew_min temp,kurt_min temp,mean_max temp,min_max temp,max_max temp,skew_max temp,kurt_max temp
AL549329Z,CR196NSLUZ,3480,0.03080575766,0.01701471183,0.04118236191,-0.6098023179,-1.867219465,0.01096186505,-0.6284034055,-0.8013231065,-0.3031536748,1.27156832,0.8187269111,0.2340555029,0.1047210077,-1.867219465,0.7857363091,-2.006429984,6.084379714,0.6106146546,1.04552416,1.021407711,1.076604754,1.041922735,,0.02824983001,0.1433706308,-0.2732466404,0.3518111305,-1.472176838,1.77582202,0.2926102524,0.6501188633,0.1407392909,0.941195999,-1.238012675,0.7351665238,0.3678870071,0.6088192479,0.1690101964,0.8172921709,-1.603269152,2.372582349,0.3044879867,0.8344105686,0.02824983001,1.076604754,-1.733601928,1.869830312,0.3567825526,0.5457559502,0.1121423634,0.7857363091,-1.125663486,0.09750217196,0.3182469608,5.036270262,2.190357939,6.80895704,-1.048462132,-0.09772226665,2.108045697,0.3605128545,0.3141188474,0.4262320779,0.8424358349,-0.6225862735,0.04999006015,LVAd,129.5909091,88.63636364,75.22727273,103.3636364,239.6363636,284.7272727,602.5,244.6363636,39.5,602.5,566.3181818,600.8636364,526.3636364,154.5,149.0454545,157.7727273,53.40909091,186.0454545,126.5909091,202.0909091,3.2875,0,48,3.440677943,13.35306246,263,25.44182518,23.875,27.5,0.188937252,-0.8937379861,22.65,21,23,-0.9398482228,-0.4334818206,30.725,27,34,-0.5254046371,-0.8511575264
AL549331Z,CR196NSLVZ,3480,0.03211162123,0.01846822254,0.04183478517,-0.6776141525,-1.851980537,0.01074956177,-0.6145411923,-0.8081966881,-0.3694114984,0.6498845954,-0.4837714712,0.190113262,0.09908902629,-1.851980537,0.8071935107,-2.03459019,6.006312544,0.6061629929,0.8959669115,0.391826614,1.077557432,-1.987113918,3.955338015,0.3364590256,0.1194418024,-0.3067062347,0.3564711385,-1.468434647,1.958214509,0.2989514622,0.6583477831,0.1621741711,0.9294087266,-1.179618536,0.3668272603,0.3614350574,0.5847158851,0.1999837929,0.8159292288,-1.365056232,1.731865468,0.2725730598,0.7722437765,-1.987113918,3.955338015,0.5624284014,5.458797999,1.206141305,0.5337421254,0.146574982,0.8071935107,-0.8888013661,-0.2250734933,0.2917227435,4.118451955,2.697426875,6.947718624,1.789106684,3.373122846,1.919874479,0.3888214162,0.3242835206,0.4366932303,-0.8340500725,0.07980402113,0.04872836414,LVAd,130.7096774,83.51612903,70.58064516,101.2903226,211.516129,262.1290323,611.9677419,214.9354839,39.70967742,611.9677419,573.8387097,613.9354839,531.516129,171,163.8709677,176.4516129,59.38709677,211.8709677,138.483871,206.516129,3.96875,0,68,4.092685355,20.44026198,317.5,25.44182518,23.875,27.5,0.188937252,-0.8937379861,22.65,21,23,-0.9398482228,-0.4334818206,30.725,27,34,-0.5254046371,-0.8511575264
AL549332Z,CR196NSM2Z,3480,0.03227414721,0.02060663324,0.0391623209,-1.523544405,2.63933266,0.008108205804,-0.6327935769,-0.8065864055,-0.3449297954,1.262543101,1.099499888,0.2067826358,0.3061925105,-1.523544405,2.63933266,0.9535521252,5.97529188,0.7737792353,0.8816540912,0.4038727533,1.080386462,-1.8447906,3.406571103,0.3229433781,0.1579614375,-0.2284536344,0.3611183246,-1.379996856,1.354934456,0.2743126943,0.6550458429,0.1796462357,0.9256205205,-1.559800957,2.614272593,0.3295654053,0.6050218382,0.2011952948,0.8165122782,-1.587947794,2.427719102,0.2797707086,0.744891833,-1.8447906,3.406571103,0.09704654451,5.03713491,1.070684816,0.5462118773,0.1554872351,0.8039860955,-1.275527691,2.04259378,0.2780636368,4.02907132,1.913449412,6.899693334,1.027587166,1.9742601,2.086801096,0.3884145594,0.300637978,0.4767537313,0.007651129224,-4.853839903,0.08621830395,LVAd,133.1923077,86.03846154,71.88461538,109.2307692,209.5,254.6153846,622.8846154,208.0769231,40.23076923,622.8846154,585.8076923,626.6923077,540.5769231,165.1923077,159.7307692,167.6538462,60.5,212.5384615,132.9615385,203.4230769,3.96875,0,68,4.092685355,20.44026198,317.5,25.44182518,23.875,27.5,0.188937252,-0.8937379861,22.65,21,23,-0.9398482228,-0.4334818206,30.725,27,34,-0.5254046371,-0.8511575264
AL549630Z,CR196NSM3Z,3600,0.03502536724,0.01680283791,0.04896600233,-0.9240302121,1.93131923,0.01337396373,-0.6598350232,-0.814501887,-0.3536108323,1.474735454,1.793327445,0.2150035532,0.3270247347,-0.9240302121,1.93131923,0.7713263963,2.858815036,0.5897526046,0.890436862,0.3991772979,1.103177893,-1.930314697,3.788740514,0.3293918746,0.164556469,-0.2912723087,0.3689893547,-1.697751617,2.787101184,0.3125213509,0.7372475827,0.1547962395,1.078231837,-1.546050457,2.720795915,0.4038560226,0.6380210408,0.2002458124,0.8345777183,-1.774346885,3.125005005,0.2978642422,0.7803187247,-1.930314697,3.788740514,0.4024259471,5.279462685,1.162495442,0.607951104,0.1343023091,0.8637135858,-1.583984314,2.502366031,0.3280534704,4.903021625,2.25039477,6.539332196,-0.7924427959,-1.614027088,2.054646284,0.3814344105,0.3130878548,0.4480653975,-0.08753266412,0.7690701334,0.05582001974,LVAd,130.3333333,86.91666667,77.02777778,108.9166667,225.7777778,266,620.3611111,220.5833333,40.80555556,620.3611111,585.0555556,624.8888889,532.3055556,154.5,148.9444444,153.7222222,57.38888889,195.5555556,134,204.5277778,3.96875,0,68,4.092685355,20.44026198,317.5,25.44390851,23.875,27.5,0.1848415906,-0.9060461286,22.675,22,23,-0.7616201296,-1.457004534,30.725,27,34,-0.5254046371,-0.8511575264
AL548076Z,CR196P2JMZ,3600,0.03528505558,0.03246205354,0.03810805762,,,0.003992327772,-0.7163682866,-0.7619914821,-0.670745091,,,0.0645209419,0.2680041757,0.003992327772,0.7203299277,0.5566943691,-2.023222699,0.3106052823,0.9777104161,0.9401572266,1.015263606,,,0.05310822998,0.2955116004,0.2779043994,0.3131188015,,,0.02490034251,0.7985023247,0.7390932078,0.8579114416,,,0.08401717884,0.737208742,0.6808031329,0.7936143511,,,0.07976957734,0.8155229029,0.05310822998,1.015263606,-2.384618726,5.956228846,0.322449178,0.6575515373,0.5947731469,0.7203299277,,,0.0887820511,6.497792386,5.434000997,7.561583775,,,1.50442821,0.3476657347,0.3206381718,0.3746932977,,,0.03822274607,LVAd,132.6857143,89.45714286,80.74285714,110.5714286,207.0857143,224.4,654.7142857,214.0571429,40.54285714,654.7142857,633.2857143,648.4285714,598.2571429,137.5428571,142.2571429,138.2571429,51.94285714,184.8857143,103.7428571,210.0285714,1.064375,0,26.4,5.004151001,26.159391,85.15,25.33224638,23.16666667,26.875,-0.3522164628,-0.7086267729,22.5375,21,23,-0.7728465332,-0.388446242,30.6,25,33,-0.9688116773,0.2796130084
AL548075Z,CR196P2JNZ,3600,0.03030201679,0.02639542656,0.03420860702,,,0.005524752884,-0.6821614839,-0.733049987,-0.6312729808,,,0.07196721122,0.2380483556,0.005524752884,0.6766436394,0.6421288017,-1.74119421,0.2799472119,0.9895199689,0.967432135,1.011607803,,,0.03123691437,0.2745984367,0.2645236591,0.2846732143,,,0.01424788713,0.7144336214,0.6312380342,0.7976292086,,,0.1176563277,0.7194099691,0.6531377569,0.7856821813,,,0.09372306128,0.8132147593,0.03123691437,1.011607803,-2.290863359,5.442638307,0.3348745649,0.5829515414,0.4892594434,0.6766436394,,,0.1325006357,4.674880657,2.075806906,7.273954407,,,3.675645348,0.3261179191,0.2699927251,0.3822431132,,,0.07937301064,LVAd,130.9677419,88.16129032,76.5483871,108,227.0322581,227.4193548,644.4516129,227.8387097,41.93548387,644.4516129,641,644.3225806,597.1612903,127.7419355,131.516129,128.4193548,52.38709677,202.483871,113.3870968,226.7741935,1.064375,0,26.4,5.004151001,26.159391,85.15,25.33224638,23.16666667,26.875,-0.3522164628,-0.7086267729,22.5375,21,23,-0.7728465332,-0.388446242,30.6,25,33,-0.9688116773,0.2796130084
AL548072Z,CR196P2KBZ,3600,0.02890305072,0.01673803674,0.0410680647,,,0.01720392776,-0.5596434331,-0.7844910548,-0.3347958115,,,0.317982556,0.1842574767,0.01673803674,0.8006209294,1.770428381,1.510256539,0.3014349324,0.6124635715,0.2146953737,1.010231769,,,0.5625291801,0.03981246322,-0.2616874413,0.3413123678,,,0.4263852541,0.5141058513,0.08699680481,0.9412148977,,,0.6040234061,0.4683011781,0.1109914329,0.8256109233,,,0.5053122876,0.5810756583,0.1413570341,1.010231769,0.008288896131,-1.947197172,0.3629832113,0.443355766,0.08609060255,0.8006209294,,,0.5052492395,6.221480475,4.231174965,8.211785985,,,2.814717045,0.4199994153,0.3966032977,0.4433955329,,,0.03308710679,LVAd,129.6097561,93.51219512,84.46341463,117.0731707,218.0487805,220.2195122,635.3414634,220.1707317,40.7804878,635.3414634,630.6341463,635.0487805,610.4390244,144.6585366,149.097561,146.5365854,53.07317073,201.9756098,112.7560976,226.0243902,1.064375,0,26.4,5.004151001,26.159391,85.15,25.36401721,23.16666667,26.875,-0.3327412726,-0.72176561,22.5375,21,23,-0.7728465332,-0.388446242,30.6875,26,33,-0.9197331,0.1256032312
AL548073Z,CR196P2JQZ,3600,0.03466629076,0.03252890295,0.03680367858,,,0.003022722834,-0.7315951837,-0.7582554395,-0.7049349279,,,0.03770329531,0.2729060359,0.003022722834,0.7236242942,0.53374112,-2.097618149,0.3168313619,1.035282753,1.007486651,1.063078855,,,0.03930962444,0.3288789615,0.3238476877,0.3339102354,,,0.007115295744,0.820668091,0.7779851291,0.8633510529,,,0.06036282361,0.769619138,0.7348432511,0.8043950249,,,0.04918053092,0.8567756637,0.03930962444,1.063078855,-2.379868939,5.943128159,0.3458112673,0.6738647604,0.6241052265,0.7236242942,,,0.07037060763,4.86569604,2.937833664,6.793558415,,,2.726409118,0.3222247968,0.2838792635,0.3605703301,,,0.05422877327,LVAd,130.2419355,88.37096774,79.59677419,105.0322581,258.0806452,244.6935484,594.2580645,263.7096774,42.14516129,594.2580645,601.9516129,590.9032258,568.2580645,145.4032258,153.3709677,147.5483871,53.20967742,188.9193548,114.6451613,220.1612903,1.064375,0,26.4,5.004151001,26.159391,85.15,25.29839221,23.16666667,26.875,-0.3247400616,-0.7524005651,22.525,21,23,-0.7204689462,-0.4660006371,30.525,25,33,-0.9214180452,0.09669260909
AL548074Z,CR196P2JRZ,3600,0.0299907223,0.01733113088,0.03804967244,-1.544797622,,0.01109905024,-0.616902671,-0.7690362479,-0.3372573057,1.711983546,,0.2424926924,0.1120810925,-1.544797622,0.764174799,-1.917836535,5.949484851,0.5620158746,0.7486239931,0.2483548587,1.015299895,-1.72071247,,0.4335614384,0.1276823687,-0.271809946,0.3394971118,-1.722582778,,0.3461809251,0.6052079341,0.1029388957,0.8881707175,-1.690633687,,0.4361406638,0.5698257859,0.1294078666,0.8101383273,-1.710482206,,0.3819425503,0.4380417516,-1.72071247,1.015299895,-2.349880702,6.3759598,0.7873619944,0.5163955723,0.09908997874,0.764174799,-1.642188859,,0.3635090732,5.505370464,3.75083856,7.903080322,1.225922395,,2.149543282,0.3707805439,0.2881310357,0.4476082584,-0.3261536733,,0.07989784789,LVAd,131.3333333,83.83333333,77.38888889,99.36111111,253.9444444,245.5833333,593.1944444,253.8055556,40.27777778,593.1944444,596.4166667,594.6388889,570.6944444,151.5833333,157.9444444,152.7222222,52.05555556,188.9722222,103.5,204.8055556,1.064375,0,26.4,5.004151001,26.159391,85.15,25.36401721,23.16666667,26.875,-0.3327412726,-0.72176561,22.5375,21,23,-0.7728465332,-0.388446242,30.6875,26,33,-0.9197331,0.1256032312
AL548068Z,CR196P2JSZ,3600,0.02987809685,0.01673518189,0.03647230597,-1.732019665,,0.01138212098,-0.615016957,-0.7837857456,-0.3534496639,1.521324278,,0.229686651,0.09131037825,-1.732019665,0.7469476215,-2.193890268,7.006522053,0.6002835857,0.7562342805,0.1912056267,1.072050499,-1.696186212,,0.4904610593,0.1535668314,-0.2570011253,0.374372642,-1.717237351,,0.3559009167,0.5991781578,0.07750993228,0.8694914956,-1.728621567,,0.4518773715,0.5545270071,0.09996075269,0.8101640067,-1.691912497,,0.3946857001,0.4430740618,-1.696186212,1.072050499,-2.201205025,5.700619261,0.7943659357,0.4962315844,0.08016622542,0.7469476215,-1.62481631,,0.3628424675,4.984109545,3.226036284,6.557889932,-0.4895335701,,1.673554624,0.3554166669,0.2787916447,0.4559578954,1.101265738,,0.09097229679,LVAd,130.1666667,79.77777778,71.22222222,98.77777778,254.9444444,241.9444444,603.6111111,261.5555556,38.77777778,603.6111111,612.5,598.6666667,575.2777778,139.6111111,145.6111111,141.2222222,53.11111111,179.1666667,113.1111111,227.2222222,0.61525,0,12.1,3.88556438,16.69245105,49.22,25.3964221,23.16666667,26.875,-0.3618869364,-0.665340629,22.5375,21,23,-0.7728465332,-0.388446242,30.775,26,33,-0.9087130488,0.1616535713
